Name,Platform,Year_of_Release,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Super Mario 64,N64,1996,11.89,6.91,2.85,1.91,0.23
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,11.77,4.34,2.71,3.96,0.76
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,11.68,4.35,3.49,3.1,0.74
Gran Turismo 4,PS2,2004,11.66,3.01,0.01,1.1,7.53
Super Mario Galaxy,Wii,2007,11.35,6.06,3.35,1.2,0.74
Super Mario Land 2: 6 Golden Coins,GB,1992,11.18,6.16,2.04,2.69,0.29
Grand Theft Auto IV,X360,2008,11.01,6.76,3.07,0.14,1.03
Gran Turismo,PS,1997,10.95,4.02,3.87,2.54,0.52
Super Mario 3D Land,3DS,2011,10.81,4.89,3,2.14,0.78
Gran Turismo 5,PS3,2010,10.7,2.96,4.82,0.81,2.11
Call of Duty: Modern Warfare 2,PS3,2009,10.6,4.99,3.64,0.38,1.6
Super Mario All-Stars,SNES,1993,10.55,5.99,2.15,2.12,0.29
Grand Theft Auto IV,PS3,2008,10.5,4.76,3.69,0.44,1.61
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,10.49,4.34,2.65,3.15,0.35
Super Mario 64,DS,2004,10.3,5.01,3.07,1.25,0.97
Call of Duty: Ghosts,X360,2013,10.25,6.73,2.56,0.04,0.91
Just Dance 3,Wii,2011,10.12,5.95,3.11,0,1.06
New Super Mario Bros. 2,3DS,2012,9.9,3.66,3.14,2.47,0.63
Mario Kart 64,N64,1996,9.87,5.55,1.94,2.23,0.15
Halo: Reach,X360,2010,9.86,7.04,1.95,0.08,0.79
Final Fantasy VII,PS,1997,9.72,3.01,2.47,3.28,0.96
Halo 4,X360,2012,9.71,6.65,2.28,0.04,0.74
Gran Turismo 2,PS,1999,9.49,3.88,3.42,1.69,0.5
Just Dance 2,Wii,2010,9.44,5.8,2.85,0.01,0.78
Call of Duty: Ghosts,PS3,2013,9.36,4.1,3.63,0.38,1.25
Call of Duty 4: Modern Warfare,X360,2007,9.31,5.93,2.36,0.13,0.9
Donkey Kong Country,SNES,1994,9.3,4.36,1.71,3,0.23
Minecraft,X360,2013,9.18,5.7,2.65,0.02,0.81
Animal Crossing: New Leaf,3DS,2012,9.16,2.03,2.36,4.39,0.39
Mario Party DS,DS,2007,8.91,4.4,1.85,1.98,0.68
The Elder Scrolls V: Skyrim,X360,2011,8.79,5.05,2.79,0.1,0.85
Super Mario Kart,SNES,1992,8.76,3.54,1.24,3.81,0.18
FIFA 16,PS4,2015,8.57,1.12,6.12,0.06,1.28
Halo 2,XB,2004,8.49,6.82,1.53,0.05,0.08
Wii Party,Wii,2010,8.38,1.75,3.47,2.49,0.67
Mario Party 8,Wii,2007,8.27,3.74,2.24,1.58,0.7
FIFA Soccer 13,PS3,2012,8.16,1.06,5.01,0.13,1.97
GoldenEye 007,N64,1997,8.09,5.8,2.01,0.13,0.15
Pokemon Black 2/Pokemon White 2,DS,2012,8.07,2.79,1.72,3.14,0.41
Final Fantasy X,PS2,2001,8.05,2.91,2.07,2.73,0.33
The Sims 3,PC,2009,8.01,0.99,6.42,0,0.6
Mario & Sonic at the Olympic Games,Wii,2007,7.99,2.57,3.86,0.66,0.91
Star Wars Battlefront (2015),PS4,2015,7.98,2.99,3.49,0.22,1.28
Final Fantasy VIII,PS,1999,7.86,2.28,1.72,3.63,0.23
Pac-Man,2600,1982,7.81,7.28,0.45,0,0.08
Pokémon Platinum Version,DS,2008,7.72,2.76,1.72,2.69,0.54
Grand Theft Auto: Liberty City Stories,PSP,2005,7.69,2.9,2.81,0.24,1.73
Call of Duty: Advanced Warfare,PS4,2014,7.66,2.81,3.48,0.14,1.23
The Legend of Zelda: Ocarina of Time,N64,1998,7.6,4.1,1.89,1.45,0.16
FIFA 17,PS4,2016,7.59,0.66,5.75,0.08,1.11
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,7.58,3.78,2.17,1.31,0.31
Super Smash Bros. for Wii U and 3DS,3DS,2014,7.55,3.27,1.37,2.43,0.48
Super Mario Galaxy 2,Wii,2010,7.51,3.56,2.35,0.98,0.62
Super Mario Bros. 2,NES,1988,7.46,5.39,1.18,0.7,0.19
Call of Duty: Black Ops 3,XOne,2015,7.39,4.59,2.11,0.01,0.68
Call of Duty: World at War,X360,2008,7.38,4.81,1.88,0,0.69
Battlefield 3,X360,2011,7.32,4.46,2.11,0.06,0.69
Need for Speed Underground,PS2,2003,7.2,3.27,2.83,0.08,1.02
Just Dance,Wii,2009,7.2,3.48,2.99,0,0.73
Battlefield 3,PS3,2011,7.17,2.85,2.89,0.35,1.08
Fallout 4,PS4,2015,7.16,2.53,3.27,0.24,1.13
Tekken 3,PS,1998,7.16,3.27,2.22,1.4,0.29
The Legend of Zelda: Twilight Princess,Wii,2006,7.15,3.74,2.14,0.6,0.68
Pokemon Sun/Moon,3DS,2016,7.14,2.98,1.45,2.26,0.45
Crash Bandicoot 3: Warped,PS,1998,7.13,3.68,1.75,1.42,0.28
Mario Kart 8,WiiU,2014,7.09,3.15,2.15,1.28,0.51
Super Smash Bros. Melee,GC,2001,7.07,4.41,1.04,1.39,0.22
Mario Kart: Double Dash!!,GC,2003,6.95,4.12,1.77,0.87,0.19
Need for Speed Underground 2,PS2,2004,6.9,2.71,3.02,0.08,1.09
Medal of Honor: Frontline,PS2,2002,6.83,2.93,2.75,0.17,0.99
Crash Bandicoot,PS,1996,6.82,3.23,2.35,0.94,0.3
Just Dance 4,Wii,2012,6.76,4.05,2.16,0,0.55
Gears of War 2,X360,2008,6.75,4.15,1.9,0.06,0.64
Uncharted 3: Drake's Deception,PS3,2011,6.74,2.77,2.75,0.19,1.03
Zumba Fitness,Wii,2010,6.71,3.45,2.59,0,0.66
Call of Duty 4: Modern Warfare,PS3,2007,6.68,3.11,2.26,0.28,1.03
Uncharted 2: Among Thieves,PS3,2009,6.66,3.27,2.2,0.21,0.98
FIFA 12,PS3,2011,6.65,0.84,4.3,0.11,1.39
Big Brain Academy,DS,2005,6.62,1.66,2.75,1.6,0.62
The Legend of Zelda,NES,1986,6.51,3.74,0.93,1.69,0.14
Red Dead Redemption,PS3,2010,6.49,2.79,2.53,0.17,0.99
FIFA 14,PS3,2013,6.47,0.78,4.24,0.07,1.37
Assassin's Creed III,PS3,2012,6.45,2.64,2.52,0.16,1.12
Donkey Kong Country Returns,Wii,2010,6.44,3.17,1.79,1.03,0.46
Halo: Combat Evolved,XB,2001,6.43,4.98,1.3,0.08,0.07
The Elder Scrolls V: Skyrim,PS3,2011,6.41,2.55,2.6,0.25,1
Pokémon Emerald Version,GBA,2004,6.41,2.57,1.58,2.06,0.21
Kingdom Hearts,PS2,2002,6.4,3.64,1.2,1.49,0.07
Pokémon Crystal Version,GB,2000,6.39,2.55,1.56,1.29,0.99
Halo 3: ODST,X360,2009,6.34,4.34,1.34,0.06,0.61
Red Dead Redemption,X360,2010,6.32,3.7,1.95,0.09,0.58
Super Mario Sunshine,GC,2002,6.31,4.01,1.26,0.87,0.17
Street Fighter II: The World Warrior,SNES,1992,6.3,2.47,0.83,2.87,0.12
World of Warcraft,PC,2004,6.29,0.08,6.21,0,0
Driver,PS,1999,6.27,3.11,2.8,0.02,0.33
Gears of War 3,X360,2011,6.21,4.05,1.59,0.07,0.5
Kinect Sports,X360,2010,6.19,3.92,1.73,0.03,0.51
Gears of War,X360,2006,6.09,3.54,1.88,0.07,0.6
FIFA 15,PS4,2014,6.08,0.8,4.33,0.05,0.9
Metal Gear Solid 2: Sons of Liberty,PS2,2001,6.05,2.45,2.01,0.87,0.72
Sonic the Hedgehog 2,GEN,1992,6.03,4.47,1.2,0.16,0.19
Metal Gear Solid,PS,1998,6.03,3.18,1.83,0.78,0.24
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,5.99,2.63,1.71,0.83,0.82
Final Fantasy XII,PS2,2006,5.95,1.88,0,2.33,1.74
The Last of Us,PS3,2013,5.87,2.41,2.18,0.28,0.99
LittleBigPlanet,PS3,2008,5.82,2.8,1.98,0.17,0.87
Resident Evil 2,PS,1998,5.82,1.88,1.47,2.02,0.45
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,5.78,0.63,0.67,4.35,0.15
Tekken 2,PS,1996,5.74,2.26,1.89,1.36,0.23
Destiny,PS4,2014,5.64,2.49,2.07,0.16,0.92
LEGO Star Wars: The Complete Saga,Wii,2007,5.64,3.57,1.55,0,0.51
Cooking Mama,DS,2006,5.63,3.07,1.91,0.07,0.57
Tetris,NES,1988,5.58,2.97,0.69,1.81,0.11
Super Smash Bros.,N64,1999,5.55,2.95,0.6,1.97,0.04
Assassin's Creed II,PS3,2009,5.55,2.54,1.93,0.21,0.86
Assassin's Creed,X360,2007,5.54,3.28,1.64,0.07,0.56
Forza Motorsport 3,X360,2009,5.49,2.99,1.9,0.1,0.5
Super Mario Advance,GBA,2001,5.49,3.14,1.24,0.91,0.2
Monster Hunter Freedom Unite,PSP,2008,5.48,0.47,0.55,4.13,0.34
Batman: Arkham City,PS3,2011,5.48,2.71,1.85,0.11,0.81
Grand Theft Auto V,XOne,2014,5.48,2.81,2.19,0,0.47
Mario Kart: Super Circuit,GBA,2001,5.47,2.62,1.64,0.99,0.23
Super Mario World,GBA,2001,5.46,3.21,1.11,0.95,0.2
Pokemon Stadium,N64,1999,5.45,3.18,1.24,0.94,0.09
Crash Bandicoot: The Wrath of Cortex,PS2,2001,5.42,2.07,2.29,0.24,0.82
Call of Duty: World at War,PS3,2008,5.39,2.73,1.83,0,0.83
Uncharted 4: A Thief's End,PS4,2016,5.38,1.85,2.5,0.19,0.85
Dr. Mario,GB,1989,5.34,2.18,0.96,2,0.2
Final Fantasy XIII,PS3,2009,5.33,1.74,1.21,1.87,0.51
Pokemon Pinball,GB,1999,5.31,3.02,1.12,1.01,0.16
Final Fantasy IX,PS,2000,5.3,1.62,0.77,2.78,0.14
Assassin's Creed III,X360,2012,5.29,3.13,1.69,0.03,0.44
Final Fantasy X-2,PS2,2003,5.29,1.92,1.08,2.11,0.17
Donkey Kong 64,N64,1999,5.27,3.33,0.79,1.09,0.06
Call of Duty: Advanced Warfare,XOne,2014,5.27,3.22,1.55,0.01,0.48
Minecraft,PS3,2014,5.26,2.03,2.37,0,0.87
Assassin's Creed II,X360,2009,5.26,3.11,1.55,0.08,0.51
Tomb Raider II,PS,1997,5.24,2.3,2.46,0.2,0.28
Tomodachi Life,3DS,2013,5.23,0.97,2.11,1.9,0.24
New Super Mario Bros. U,WiiU,2012,5.22,2.3,1.34,1.27,0.32
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,5.21,0.65,0.75,3.61,0.2
Super Mario Bros. 3,GBA,2003,5.2,2.93,1.25,0.83,0.2
Professor Layton and the Curious Village,DS,2007,5.19,1.21,2.43,1.03,0.52
Super Mario Land 3: Wario Land,GB,1994,5.19,2.49,0.98,1.57,0.15
FIFA Soccer 13,X360,2012,5.16,1.09,3.47,0.03,0.57
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,5.15,2.1,0.74,2.2,0.11
Diablo III,PC,2012,5.14,2.44,2.16,0,0.54
Medal of Honor: Rising Sun,PS2,2003,5.13,1.98,2.23,0.13,0.8
Kirby's Dream Land,GB,1992,5.13,2.71,0.61,1.7,0.11
Microsoft Flight Simulator,PC,1996,5.12,3.22,1.69,0,0.2
Guitar Hero II,PS2,2006,5.12,3.81,0.63,0,0.68
Fable III,X360,2010,5.1,3.59,1.08,0.05,0.38
Mario & Sonic at the Olympic Games,DS,2008,5.09,1.63,2.45,0.44,0.57
Resident Evil 5,PS3,2009,5.09,1.96,1.41,1.08,0.64
The Legend of Zelda: Phantom Hourglass,DS,2007,5.08,1.85,1.8,0.95,0.48
Super Mario Bros.,GB,1999,5.07,3.4,1.3,0.15,0.22
FIFA Soccer 11,PS3,2010,5.07,0.61,3.28,0.06,1.12
Resident Evil,PS,1996,5.05,2.05,1.16,1.11,0.73
Grand Theft Auto: Vice City Stories,PSP,2006,5.03,1.7,1.99,0.16,1.18
Tony Hawk's Pro Skater,PS,1999,5.02,3.42,1.38,0.02,0.2
Warzone 2100,PS,1999,5.01,2.79,1.89,0,0.33
Spyro the Dragon,PS,1998,5,3.36,1.36,0.07,0.21
Guitar Hero III: Legends of Rock,PS2,2007,4.98,3.49,0.01,0.01,1.48
Link's Crossbow Training,Wii,2007,4.98,3.05,1.17,0.29,0.46
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,4.93,1.83,1.19,1.54,0.37
Fallout 3,X360,2008,4.93,3.4,0.99,0.09,0.45
Uncharted: Drake's Fortune,PS3,2007,4.92,2.31,1.72,0.12,0.77
Madden NFL 06,PS2,2005,4.91,3.98,0.26,0.01,0.66
Diddy Kong Racing,N64,1997,4.88,2.91,0.99,0.89,0.1
Monster Hunter Freedom 3,PSP,2010,4.87,0,0,4.87,0
Super Smash Bros. for Wii U and 3DS,WiiU,2014,4.87,2.6,1.08,0.81,0.38
Dr. Mario,NES,1990,4.85,2.62,0.6,1.52,0.1
StarCraft II: Wings of Liberty,PC,2010,4.84,2.57,1.68,0,0.58
Assassin's Creed,PS3,2007,4.82,1.91,2,0.09,0.82
God of War III,PS3,2010,4.8,2.74,1.33,0.12,0.61
Crash Team Racing,PS,1999,4.79,2.57,1.57,0.44,0.21
LEGO Star Wars: The Complete Saga,DS,2007,4.76,2.83,1.48,0,0.45
Driver 2,PS,2000,4.73,2.36,2.1,0.02,0.25
Batman: Arkham City,X360,2011,4.73,2.99,1.27,0.04,0.42
The Last of Us,PS4,2014,4.71,1.88,2,0.07,0.77
The Simpsons: Hit & Run,PS2,2003,4.7,1.73,2.19,0,0.79
Tony Hawk's Pro Skater 2,PS,2000,4.68,3.05,1.41,0.02,0.2
The Lord of the Rings: The Two Towers,PS2,2002,4.67,1.94,1.95,0.08,0.7
Tomb Raider,PS,1996,4.63,2.29,1.97,0.13,0.24
Animal Crossing: City Folk,Wii,2008,4.62,1.82,1.12,1.32,0.36
Uncharted: The Nathan Drake Collection,PS4,2015,4.62,2.07,1.71,0.08,0.76
The Legend of Zelda: A Link to the Past,SNES,1991,4.61,2.42,0.91,1.15,0.13
The Legend of Zelda: The Wind Waker,GC,2002,4.6,2.6,0.99,0.89,0.13
Guitar Hero III: Legends of Rock,Wii,2007,4.6,3.04,1.11,0,0.43
Luigi's Mansion: Dark Moon,3DS,2013,4.59,1.8,1.39,1.11,0.29
Forza Motorsport 4,X360,2011,4.57,2.08,1.97,0.06,0.46
Mario & Sonic at the Olympic Winter Games,Wii,2009,4.53,1.87,1.96,0.22,0.48
Madden NFL 2005,PS2,2004,4.53,4.18,0.26,0.01,0.08
Guitar Hero III: Legends of Rock,X360,2007,4.53,3.19,0.91,0.01,0.42
Pitfall!,2600,1981,4.5,4.21,0.24,0,0.05
Madden NFL 07,PS2,2006,4.49,3.63,0.24,0.01,0.61
Halo 5: Guardians,XOne,2015,4.48,2.78,1.27,0.03,0.41
Spider-Man: The Movie,PS2,2002,4.48,2.71,1.51,0.03,0.23
Dragon Quest VII: Warriors of Eden,PS,2000,4.47,0.2,0.14,4.1,0.02
Call of Duty: Infinite Warfare,PS4,2016,4.46,1.61,2,0.15,0.71
God of War,PS2,2005,4.45,2.71,1.29,0.02,0.43
Splatoon,WiiU,2015,4.43,1.54,1.18,1.46,0.26
Nintendo Land,WiiU,2012,4.42,2.52,1.11,0.46,0.33
Tony Hawk's Pro Skater 3,PS2,2001,4.41,2.66,1.29,0.01,0.46
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,4.39,0.1,2.39,1.05,0.86
The Elder Scrolls IV: Oblivion,X360,2006,4.38,2.82,1.03,0.13,0.4
Zelda II: The Adventure of Link,NES,1987,4.38,2.19,0.5,1.61,0.08
Need for Speed: Most Wanted,PS2,2005,4.37,2.03,1.79,0.08,0.47
Michael Jackson: The Experience,Wii,2010,4.36,2.64,1.33,0.01,0.39
Call of Duty: Advanced Warfare,PS3,2014,4.36,1.56,1.93,0.19,0.68
Resistance: Fall of Man,PS3,2006,4.34,1.74,1.72,0.14,0.75
Sonic the Hedgehog,GEN,1991,4.34,3.03,0.91,0.26,0.13
Kingdom Hearts II,PS2,2005,4.33,2.2,0.58,1.38,0.17
The Legend of Zelda: Ocarina of Time,3DS,2011,4.33,2.09,1.31,0.62,0.31
Super Mario 3D World,WiiU,2013,4.32,2.11,1.16,0.73,0.32
Minecraft,PS4,2014,4.32,1.48,2.02,0.14,0.68
Asteroids,2600,1980,4.31,4,0.26,0,0.05
Call of Duty: Advanced Warfare,X360,2014,4.29,2.77,1.11,0,0.4
FIFA 15,PS3,2014,4.28,0.58,3.02,0.04,0.64
Fable II,X360,2008,4.27,2.51,1.24,0.11,0.41
Namco Museum,GBA,2001,4.24,3,1.11,0.05,0.07
Batman: Arkham Asylum,PS3,2009,4.23,2.24,1.31,0.07,0.61
Metal Gear Solid 3: Snake Eater,PS2,2004,4.23,1.46,0,0.83,1.93
Assassin's Creed: Revelations,PS3,2011,4.22,1.41,2.01,0.1,0.7
Fallout 4,XOne,2015,4.22,2.51,1.32,0.01,0.38
FIFA 14,X360,2013,4.22,0.92,2.89,0.01,0.4
Daxter,PSP,2006,4.21,2.45,1.01,0,0.75
Warcraft II: Tides of Darkness,PC,1995,4.21,1.7,2.27,0,0.23
FIFA Soccer 06,PS2,2005,4.21,0.78,2.55,0.04,0.84
EyeToy Play,PS2,2003,4.2,0.88,2.3,0.2,0.83
Gran Turismo 5 Prologue,PS3,2007,4.19,1.28,1.82,0.57,0.52
Assassin's Creed: Revelations,X360,2011,4.19,2.25,1.47,0.04,0.43
FIFA 12,X360,2011,4.18,0.84,2.78,0.02,0.53
Teenage Mutant Ninja Turtles,NES,1989,4.17,3.38,0.44,0.31,0.04
Street Fighter IV,PS3,2009,4.16,2.03,1.04,0.58,0.52
Excitebike,NES,1984,4.16,2.04,0.48,1.57,0.07
Frogger,PS,1997,4.16,3.79,0.27,0,0.11
Madden NFL 2003,PS2,2002,4.14,3.36,0.21,0.01,0.56
Half-Life,PC,1997,4.12,4.03,0,0.09,0
Super Mario World 2: Yoshi's Island,SNES,1995,4.12,1.65,0.61,1.76,0.09
FIFA Soccer 07,PS2,2006,4.11,0.71,2.48,0.03,0.89
Street Fighter II Turbo,SNES,1992,4.1,1.42,0.51,2.1,0.07
World of Warcraft: The Burning Crusade,PC,2007,4.09,2.57,1.52,0,0
Battlefield 1,PS4,2016,4.08,1.1,2.15,0.21,0.61
God of War II,PS2,2007,4.07,2.32,0.04,0.04,1.67
World Soccer Winning Eleven 9,PS2,2005,4.06,0.12,2.26,0.9,0.77
Fallout: New Vegas,X360,2010,4.05,2.66,1.03,0.04,0.33
Forza Motorsport 2,X360,2007,4.05,2.35,1.27,0.03,0.41
Carnival Games,Wii,2007,4.05,2.12,1.47,0.05,0.42
Watch Dogs,PS4,2014,4.05,1.4,1.9,0.11,0.64
Namco Museum Vol.3,PS,1996,4.05,2.28,1.55,0.16,0.06
Tekken Tag Tournament,PS2,2000,4.05,1.68,1.51,0.51,0.35
Far Cry 4,PS4,2014,4.04,1.13,2.18,0.1,0.63
Star Fox 64,N64,1997,4.03,2.78,0.58,0.64,0.04
Golf,NES,1984,4.01,1.22,0.28,2.46,0.04
Namco Museum: 50th Anniversary,PS2,2005,3.98,2.08,1.35,0,0.54
Left 4 Dead 2,X360,2009,3.97,2.67,0.87,0.05,0.38
The Witcher 3: Wild Hunt,PS4,2015,3.97,1.02,2.13,0.23,0.59
Assassin's Creed: Unity,PS4,2014,3.96,1.19,2.07,0.08,0.62
Batman: Arkham Knight,PS4,2015,3.95,1.53,1.69,0.1,0.64
The Legend of Zelda: Skyward Sword,Wii,2011,3.95,2.03,1.16,0.37,0.38
Fallout 3,PS3,2008,3.94,2.15,1.13,0.07,0.59
Professor Layton and the Diabolical Box,DS,2007,3.94,0.9,1.76,0.92,0.37
Donkey Kong Land,GB,1994,3.91,1.97,0.76,1.07,0.11
EA Sports Active,Wii,2009,3.9,2.09,1.35,0.06,0.4
Tony Hawk's Underground,PS2,2003,3.9,2.29,1.17,0.01,0.42
Monster Hunter 4 Ultimate,3DS,2014,3.89,0.68,0.48,2.62,0.11
The Elder Scrolls V: Skyrim,PC,2011,3.88,1.16,2.12,0,0.6
NBA 2K16,PS4,2015,3.88,2.49,0.66,0.03,0.69
Tekken 5,PS2,2005,3.87,0.93,1.94,0.31,0.7
Dragon Warrior III,NES,1988,3.87,0.1,0,3.77,0
MotorStorm,PS3,2006,3.87,1.53,1.6,0.06,0.67
Nintendogs + cats,3DS,2011,3.85,1.44,1.41,0.73,0.27
World Soccer Winning Eleven 8 International,PS2,2004,3.85,0.16,1.89,1.12,0.68
Sports Champions,PS3,2010,3.84,2.13,1.12,0.1,0.5
Namco Museum Vol.1,PS,1995,3.84,2.12,1.44,0.22,0.06
The Legend of Zelda: Link's Awakening,GB,1992,3.83,2.21,0.96,0.54,0.13
Call of Duty: Ghosts,PS4,2013,3.83,1.78,1.43,0.05,0.57
Flash Focus: Vision Training in Minutes a Day,DS,2007,3.83,0.86,1.56,1.05,0.35
Tom Clancy's The Division,PS4,2016,3.8,1.35,1.7,0.15,0.6
Big Brain Academy: Wii Degree,Wii,2007,3.79,1.05,1.91,0.41,0.42
Resident Evil Director's Cut,PS,1996,3.77,1.82,1.24,0.47,0.25
Mario & Luigi: Bowser's Inside Story,DS,2009,3.77,2.23,0.47,0.81,0.26
LEGO Indiana Jones: The Original Adventures,X360,2008,3.76,2.4,1.01,0,0.36
The Sims: Unleashed,PC,2002,3.76,2.03,1.56,0,0.17
Ratchet & Clank: Size Matters,PSP,2007,3.74,1.4,1.39,0.1,0.86
Harry Potter and the Sorcerer's Stone,PS,2001,3.73,1.37,2,0.14,0.22
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,3.72,1.12,1.87,0.27,0.45
Resident Evil 3: Nemesis,PS,1999,3.72,1.3,0.77,1.54,0.11
Super Paper Mario,Wii,2007,3.71,1.95,0.86,0.59,0.31
Spyro: Year of the Dragon,PS,2000,3.71,1.93,1.58,0,0.19
Assassin's Creed IV: Black Flag,PS3,2013,3.71,1.33,1.68,0.13,0.57
FIFA Soccer 2005,PS2,2004,3.7,0.58,2.48,0.04,0.59
Pokémon Trading Card Game,GB,1998,3.7,1.49,0.73,1.38,0.1
Friend Collection,DS,2009,3.67,0,0,3.67,0
Tony Hawk's Pro Skater 4,PS2,2002,3.67,2.13,1.18,0.01,0.35
Star Wars Battlefront (2015),XOne,2015,3.66,2.04,1.28,0.02,0.32
MySims,DS,2007,3.66,1.58,1.59,0.08,0.41
Midnight Club 3: DUB Edition,PSP,2005,3.65,1.65,1.21,0,0.79
Banjo-Kazooie,N64,1998,3.65,1.87,1.13,0.55,0.1
SOCOM: U.S. Navy SEALs,PS2,2002,3.65,2.53,0.81,0.06,0.24
Jak and Daxter: The Precursor Legacy,PS2,2001,3.64,2.08,1.09,0.15,0.33
Pokemon Snap,N64,1999,3.63,2.23,0.68,0.66,0.06
Pro Evolution Soccer 2008,PS2,2007,3.63,0.05,0,0.64,2.93
Resident Evil 4,PS2,2005,3.62,2.08,0.83,0.46,0.25
Guitar Hero: World Tour,Wii,2008,3.62,2.32,0.96,0,0.34
FIFA Soccer 10,PS3,2009,3.62,0.6,2.45,0.05,0.52
Star Wars: Battlefront,PS2,2004,3.61,1.93,1.22,0.03,0.44
Doom II: Hell on Earth,PC,1994,3.61,2.05,1.4,0,0.16
The Simpsons: Road Rage,PS2,2001,3.61,2.02,1.17,0,0.42
Luigi's Mansion,GC,2001,3.6,2.38,0.67,0.46,0.1
Battlefield 4,PS4,2013,3.59,1.35,1.55,0.17,0.51
Star Wars: Battlefront II,PS2,2005,3.59,2.18,1.02,0.03,0.37
Just Dance 2014,Wii,2013,3.59,1.88,1.39,0,0.31
Cooking Mama 2: Dinner With Friends,DS,2007,3.58,1.6,1.49,0.1,0.39
WWF SmackDown!,PS,2000,3.58,2.01,1.35,0.06,0.16
Croc: Legend of the Gobbos,PS,1997,3.56,1.57,1.79,0,0.2
